# Renewables.ninja Solar PV (Point API) - 52.401; 13.059 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060;;;;;;;;;;;;;;;;;
# Units: time in UTC; local_time in Europe/Berlin; electricity in kW; irradiance_direct in kW/m²; irradiance_diffuse in kW/m²; temperature in ºC;;;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""local_time"": ""Europe/Berlin""";" ""electricity"": ""kW""";" ""irradiance_direct"": ""kW/m\u00b2""";" ""irradiance_diffuse"": ""kW/m\u00b2""";" ""temperature"": ""\u00baC""}";" ""params"": {""local_time"": true";" ""header"": true";" ""lat"": ""52.4009309""";" ""lon"": ""13.0591397""";" ""date_from"": ""2015-01-01""";" ""date_to"": ""2015-12-31""";" ""dataset"": ""merra2""";" ""capacity"": ""10""";" ""system_loss"": ""0""";" ""tracking"": ""0""";" ""tilt"": ""35""";" ""azim"": ""180""";" ""raw"": true}}"
time;local_time;electricity;irradiance_direct;irradiance_diffuse;temperature;;;;;;;;;;;;;
1.1.2015 0:00;1.1.2015 1:00;0;0;0;1,574;;;;;;;;;;;;;
1.1.2015 1:00;1.1.2015 2:00;0;0;0;1,47;;;;;;;;;;;;;
1.1.2015 2:00;1.1.2015 3:00;0;0;0;1,294;;;;;;;;;;;;;
1.1.2015 3:00;1.1.2015 4:00;0;0;0;1,139;;;;;;;;;;;;;
1.1.2015 4:00;1.1.2015 5:00;0;0;0;0,949;;;;;;;;;;;;;
1.1.2015 5:00;1.1.2015 6:00;0;0;0;0,577;;;;;;;;;;;;;
1.1.2015 6:00;1.1.2015 7:00;0;0;0;0,361;;;;;;;;;;;;;
1.1.2015 7:00;1.1.2015 8:00;0,006;0,002;0,005;0,313;;;;;;;;;;;;;
1.1.2015 8:00;1.1.2015 9:00;0,323;0,01;0,033;0,611;;;;;;;;;;;;;
1.1.2015 9:00;1.1.2015 10:00;0,897;0,029;0,069;0,838;;;;;;;;;;;;;
1.1.2015 10:00;1.1.2015 11:00;1,896;0,091;0,099;1,138;;;;;;;;;;;;;
1.1.2015 11:00;1.1.2015 12:00;3,07;0,202;0,098;1,819;;;;;;;;;;;;;
1.1.2015 12:00;1.1.2015 13:00;3,919;0,309;0,075;2,202;;;;;;;;;;;;;
1.1.2015 13:00;1.1.2015 14:00;1,954;0,135;0,06;1,912;;;;;;;;;;;;;
1.1.2015 14:00;1.1.2015 15:00;0,183;0,013;0,015;1,316;;;;;;;;;;;;;
1.1.2015 15:00;1.1.2015 16:00;0;0;0;0,6;;;;;;;;;;;;;
1.1.2015 16:00;1.1.2015 17:00;0;0;0;0,639;;;;;;;;;;;;;
1.1.2015 17:00;1.1.2015 18:00;0;0;0;0,689;;;;;;;;;;;;;
1.1.2015 18:00;1.1.2015 19:00;0;0;0;0,766;;;;;;;;;;;;;
1.1.2015 19:00;1.1.2015 20:00;0;0;0;0,752;;;;;;;;;;;;;
1.1.2015 20:00;1.1.2015 21:00;0;0;0;0,71;;;;;;;;;;;;;
1.1.2015 21:00;1.1.2015 22:00;0;0;0;0,672;;;;;;;;;;;;;
1.1.2015 22:00;1.1.2015 23:00;0;0;0;0,562;;;;;;;;;;;;;
1.1.2015 23:00;2.1.2015 0:00;0;0;0;0,411;;;;;;;;;;;;;
2.1.2015 0:00;2.1.2015 1:00;0;0;0;0,336;;;;;;;;;;;;;
2.1.2015 1:00;2.1.2015 2:00;0;0;0;0,417;;;;;;;;;;;;;
2.1.2015 2:00;2.1.2015 3:00;0;0;0;0,844;;;;;;;;;;;;;
2.1.2015 3:00;2.1.2015 4:00;0;0;0;1,437;;;;;;;;;;;;;
2.1.2015 4:00;2.1.2015 5:00;0;0;0;1,518;;;;;;;;;;;;;
2.1.2015 5:00;2.1.2015 6:00;0;0;0;1,542;;;;;;;;;;;;;
2.1.2015 6:00;2.1.2015 7:00;0;0;0;1,586;;;;;;;;;;;;;
2.1.2015 7:00;2.1.2015 8:00;0;0;0,002;1,743;;;;;;;;;;;;;
2.1.2015 8:00;2.1.2015 9:00;0,097;0,001;0,017;2,138;;;;;;;;;;;;;
2.1.2015 9:00;2.1.2015 10:00;0,102;0,001;0,019;2,713;;;;;;;;;;;;;
2.1.2015 10:00;2.1.2015 11:00;0,495;0,006;0,055;3,696;;;;;;;;;;;;;
2.1.2015 11:00;2.1.2015 12:00;1,028;0,023;0,088;4,384;;;;;;;;;;;;;
2.1.2015 12:00;2.1.2015 13:00;1,14;0,037;0,085;4,887;;;;;;;;;;;;;
2.1.2015 13:00;2.1.2015 14:00;0,758;0,029;0,058;5,002;;;;;;;;;;;;;
2.1.2015 14:00;2.1.2015 15:00;0,14;0,008;0,016;4,436;;;;;;;;;;;;;
2.1.2015 15:00;2.1.2015 16:00;0;0;0;3,693;;;;;;;;;;;;;
2.1.2015 16:00;2.1.2015 17:00;0;0;0;3,193;;;;;;;;;;;;;
2.1.2015 17:00;2.1.2015 18:00;0;0;0;2,925;;;;;;;;;;;;;
2.1.2015 18:00;2.1.2015 19:00;0;0;0;2,769;;;;;;;;;;;;;
2.1.2015 19:00;2.1.2015 20:00;0;0;0;2,755;;;;;;;;;;;;;
2.1.2015 20:00;2.1.2015 21:00;0;0;0;2,724;;;;;;;;;;;;;
2.1.2015 21:00;2.1.2015 22:00;0;0;0;2,637;;;;;;;;;;;;;
2.1.2015 22:00;2.1.2015 23:00;0;0;0;2,495;;;;;;;;;;;;;
2.1.2015 23:00;3.1.2015 0:00;0;0;0;2,544;;;;;;;;;;;;;
3.1.2015 0:00;3.1.2015 1:00;0;0;0;2,626;;;;;;;;;;;;;
3.1.2015 1:00;3.1.2015 2:00;0;0;0;2,591;;;;;;;;;;;;;
3.1.2015 2:00;3.1.2015 3:00;0;0;0;2,388;;;;;;;;;;;;;
3.1.2015 3:00;3.1.2015 4:00;0;0;0;2,127;;;;;;;;;;;;;
3.1.2015 4:00;3.1.2015 5:00;0;0;0;1,572;;;;;;;;;;;;;
3.1.2015 5:00;3.1.2015 6:00;0;0;0;0,827;;;;;;;;;;;;;
3.1.2015 6:00;3.1.2015 7:00;0;0;0;0,381;;;;;;;;;;;;;
3.1.2015 7:00;3.1.2015 8:00;0,023;0,003;0,006;0,461;;;;;;;;;;;;;
3.1.2015 8:00;3.1.2015 9:00;0,363;0,01;0,037;0,932;;;;;;;;;;;;;
3.1.2015 9:00;3.1.2015 10:00;0,636;0,012;0,061;1,504;;;;;;;;;;;;;
3.1.2015 10:00;3.1.2015 11:00;0,67;0,01;0,067;1,924;;;;;;;;;;;;;
3.1.2015 11:00;3.1.2015 12:00;0,657;0,009;0,066;2,128;;;;;;;;;;;;;
3.1.2015 12:00;3.1.2015 13:00;0,647;0,011;0,064;2,214;;;;;;;;;;;;;
3.1.2015 13:00;3.1.2015 14:00;0,42;0,009;0,044;2,083;;;;;;;;;;;;;
3.1.2015 14:00;3.1.2015 15:00;0,042;0,002;0,01;1,642;;;;;;;;;;;;;
3.1.2015 15:00;3.1.2015 16:00;0;0;0;1,223;;;;;;;;;;;;;
3.1.2015 16:00;3.1.2015 17:00;0;0;0;1,003;;;;;;;;;;;;;
3.1.2015 17:00;3.1.2015 18:00;0;0;0;0,958;;;;;;;;;;;;;
3.1.2015 18:00;3.1.2015 19:00;0;0;0;1,133;;;;;;;;;;;;;
3.1.2015 19:00;3.1.2015 20:00;0;0;0;1,251;;;;;;;;;;;;;
3.1.2015 20:00;3.1.2015 21:00;0;0;0;1,347;;;;;;;;;;;;;
3.1.2015 21:00;3.1.2015 22:00;0;0;0;1,439;;;;;;;;;;;;;
3.1.2015 22:00;3.1.2015 23:00;0;0;0;1,478;;;;;;;;;;;;;
3.1.2015 23:00;4.1.2015 0:00;0;0;0;1,182;;;;;;;;;;;;;
4.1.2015 0:00;4.1.2015 1:00;0;0;0;0,987;;;;;;;;;;;;;
4.1.2015 1:00;4.1.2015 2:00;0;0;0;0,96;;;;;;;;;;;;;
4.1.2015 2:00;4.1.2015 3:00;0;0;0;1,266;;;;;;;;;;;;;
4.1.2015 3:00;4.1.2015 4:00;0;0;0;1,352;;;;;;;;;;;;;
4.1.2015 4:00;4.1.2015 5:00;0;0;0;1,489;;;;;;;;;;;;;
4.1.2015 5:00;4.1.2015 6:00;0;0;0;1,59;;;;;;;;;;;;;
4.1.2015 6:00;4.1.2015 7:00;0;0;0;1,322;;;;;;;;;;;;;
4.1.2015 7:00;4.1.2015 8:00;0,039;0,004;0,007;1,17;;;;;;;;;;;;;
4.1.2015 8:00;4.1.2015 9:00;0,35;0,01;0,036;1,49;;;;;;;;;;;;;
4.1.2015 9:00;4.1.2015 10:00;0,43;0,007;0,047;1,866;;;;;;;;;;;;;
4.1.2015 10:00;4.1.2015 11:00;0,503;0,007;0,054;2,216;;;;;;;;;;;;;
4.1.2015 11:00;4.1.2015 12:00;1,053;0,026;0,087;2,765;;;;;;;;;;;;;
4.1.2015 12:00;4.1.2015 13:00;1,589;0,071;0,091;3,313;;;;;;;;;;;;;
4.1.2015 13:00;4.1.2015 14:00;1,666;0,105;0,065;3,3;;;;;;;;;;;;;
4.1.2015 14:00;4.1.2015 15:00;0,439;0,034;0,021;2,436;;;;;;;;;;;;;
